1300 ,980 ,151 ,93 ,
1269 ,914 ,160 ,94 ,
1291 ,905 ,153 ,95 ,
1360 ,917 ,151 ,96 ,
1284 ,1029 ,159 ,97 ,
1296 ,1033 ,163 ,98 ,
1237 ,1092 ,159 ,99 ,
1258 ,1006 ,165 ,100 ,
1290 ,954 ,164 ,101 ,
1333 ,917 ,160 ,102 ,
1333 ,938 ,152 ,103 ,
1346 ,878 ,148 ,104 ,
1326 ,958 ,153 ,105 ,
1322 ,916 ,150 ,106 ,
1334 ,877 ,157 ,107 ,
1325 ,917 ,159 ,108 ,
1364 ,900 ,164 ,109 ,
1360 ,948 ,161 ,110 ,
1320 ,1000 ,156 ,111 ,
1297 ,938 ,159 ,112 ,
1282 ,991 ,163 ,113 ,
1261 ,981 ,159 ,114 ,
1285 ,885 ,165 ,115 ,
1333 ,877 ,165 ,116 ,
1322 ,916 ,163 ,117 ,
1333 ,885 ,159 ,118 ,
1289 ,955 ,164 ,119 ,
1290 ,895 ,162 ,120 ,
1290 ,938 ,158 ,121 ,
1285 ,942 ,160 ,122 ,
1211 ,982 ,151 ,123 ,
1215 ,893 ,161 ,124 ,
1280 ,874 ,155 ,125 ,
1274 ,949 ,155 ,126 ,
1194 ,932 ,157 ,127 ,
1316 ,889 ,159 ,128 ,
1189 ,1088 ,163 ,129 ,
1092 ,1013 ,160 ,130 ,
1134 ,1098 ,152 ,131 ,
1141 ,970 ,148 ,132 ,
1126 ,1013 ,154 ,133 ,
1109 ,997 ,153 ,134 ,
1130 ,949 ,150 ,135 ,
1117 ,978 ,157 ,136 ,
1101 ,980 ,161 ,137 ,
1109 ,980 ,154 ,138 ,
1098 ,955 ,154 ,139 ,
1109 ,928 ,153 ,140 ,
1109 ,943 ,152 ,141 ,
1058 ,1005 ,148 ,142 ,
1066 ,942 ,153 ,143 ,
1069 ,916 ,152 ,144 ,
1108 ,957 ,149 ,145 ,
1060 ,1000 ,156 ,146 ,
1124 ,943 ,159 ,147 ,
1098 ,976 ,166 ,148 ,
1044 ,933 ,164 ,149 ,
1050 ,978 ,163 ,150 ,
1045 ,949 ,161 ,151 ,
1077 ,922 ,156 ,152 ,
1065 ,938 ,157 ,153 ,
1060 ,936 ,160 ,154 ,
1045 ,986 ,154 ,155 ,
978 ,958 ,153 ,156 ,
1005 ,861 ,154 ,157 ,
1079 ,788 ,152 ,158 ,
1098 ,852 ,150 ,159 ,
1044 ,917 ,158 ,160 ,
951 ,1005 ,162 ,161 ,
954 ,874 ,157 ,162 ,
1056 ,810 ,161 ,163 ,
1024 ,954 ,156 ,164 ,
937 ,1034 ,157 ,165 ,
957 ,851 ,161 ,166 ,
970 ,858 ,157 ,167 ,
1018 ,821 ,160 ,168 ,
991 ,854 ,155 ,169 ,
1015 ,773 ,157 ,170 ,
1044 ,778 ,160 ,171 ,
991 ,906 ,155 ,172 ,
901 ,862 ,156 ,173 ,
1004 ,815 ,158 ,174 ,
981 ,836 ,164 ,175 ,
959 ,773 ,164 ,176 ,
951 ,854 ,163 ,177 ,
949 ,858 ,162 ,178 ,
957 ,836 ,159 ,179 ,
943 ,805 ,164 ,180 ,
959 ,834 ,162 ,181 ,
950 ,748 ,159 ,182 ,
954 ,832 ,163 ,183 ,
958 ,795 ,161 ,184 ,
861 ,878 ,156 ,185 ,
878 ,822 ,159 ,186 ,
894 ,823 ,165 ,187 ,
885 ,809 ,166 ,188 ,
874 ,810 ,165 ,189 ,
858 ,826 ,167 ,190 ,
836 ,850 ,170 ,191 ,
837 ,853 ,163 ,192 ,
778 ,950 ,161 ,193 ,
722 ,906 ,158 ,194 ,
741 ,916 ,162 ,195 ,
724 ,893 ,158 ,196 ,
740 ,906 ,164 ,197 ,
730 ,837 ,163 ,198 ,
714 ,874 ,160 ,199 ,
746 ,837 ,154 ,200 ,
729 ,879 ,153 ,201 ,
722 ,891 ,153 ,202 ,
710 ,841 ,150 ,203 ,
725 ,836 ,157 ,204 ,
685 ,890 ,160 ,205 ,
650 ,873 ,154 ,206 ,
676 ,854 ,154 ,207 ,
660 ,852 ,155 ,208 ,
656 ,878 ,155 ,209 ,
594 ,878 ,158 ,210 ,
662 ,813 ,163 ,211 ,
650 ,801 ,162 ,212 ,
661 ,848 ,158 ,213 ,
617 ,821 ,163 ,214 ,
616 ,802 ,161 ,215 ,
629 ,749 ,157 ,216 ,
629 ,832 ,162 ,217 ,
673 ,746 ,157 ,218 ,
629 ,861 ,160 ,219 ,
648 ,698 ,155 ,220 ,
693 ,821 ,157 ,221 ,
586 ,778 ,161 ,222 ,
649 ,749 ,158 ,223 ,
617 ,841 ,163 ,224 ,
584 ,809 ,161 ,225 ,
584 ,810 ,156 ,226 ,
554 ,868 ,159 ,227 ,
548 ,813 ,164 ,228 ,
589 ,822 ,164 ,229 ,
571 ,749 ,162 ,230 ,
610 ,746 ,158 ,231 ,
